Site_ID,campsite,dist,canopy,reps,basal_class,basal_percent,litter,temp,pH,GWC,BG_25,CB_25,NAG_25,PHOS_25,XYL_25,AG_25,LAP_25,BG_35,CB_35,NAG_35,PHOS_35,XYL_35,AG_35,LAP_35,TOC,EC,micC,soil_C,DOC,EN,micN,soil_N,TDN,SAC,SAN,C_N
485-07 Co2A,485,Co,2,A,2,22,0.00001,25.1,6.96,0.293,24.54089462,1.131267314,2.116040003,117.0608966,3.653987473,0.030996595,40.39842464,68.04387737,8.774398031,9.904631785,273.4923669,10.08018344,3.192805516,112.2852687,0.084,4106.5,608370.3704,0.854,0.01281,264.8,32691.35802,0.3502,0.005253,9.82E-05,0.000135365,2.438606511
485-07 Co2B,485,Co,2,B,2,25,2.8,32.3,6.54,0.311,8.156359043,1.229699336,1.83258452,10.22562503,1.654955591,1.575574423,7.893633374,15.76158097,0.189912266,3.065685322,15.33109494,0.636764658,NA,24.31848076,0.082,3926.5,581703.7037,1.354,0.02031,409.6,50567.90123,0.3422,0.005133,2.51E-05,3.19E-05,3.956750438
485-07 Co2C,485,Co,2,C,2,15,0.00001,28.7,8.6,0.209,14.47204456,1.260306643,1.554882739,9.626267775,4.456457287,0.558233614,51.56245053,48.86576221,2.713165586,0.525759596,14.10938382,15.86253281,5.690600923,111.2138852,0.111,1545.5,228962.963,0.337,0.005055,61.5,7592.592593,0.2189,0.0032835,0.000205009,0.000360008,1.539515761
485-07 Co2D,485,Co,2,D,3,35,2.5,28.7,6.52,0.297,10.79336775,1.687403006,2.5686254,26.4249859,2.5686254,1.520373924,17.32639223,24.68889793,6.410029277,5.676698491,66.97639637,6.772914614,2.43341079,50.32541838,0.082,2771.5,410592.5926,0.96,0.0144,47.9,5913.580247,0.3697,0.0055455,6.93E-05,9.24E-05,2.596700027
485-07 Re1A,485,Re,1,A,2,10,6,23.2,5.83,0.141,24.98157244,1.867513927,6.448411851,91.09137903,3.732516067,2.238002568,88.27674555,37.26391587,3.89768372,15.02853065,151.7801885,5.52495147,2.471727444,153.3985673,0.125,5188.4,768651.8519,3.4687,0.0520305,374.5,46234.5679,0.7739,0.0116085,5.33E-05,0.000171178,4.482103631
485-07 Re1B,485,Re,1,B,2,25,15.2,23.9,6.41,0.087,7.708954287,0.76210725,5.257598577,14.591065,1.11853496,1.099093448,14.47360205,13.69545402,3.131733301,10.86281816,23.00385571,3.428814721,2.97494033,35.02680174,0.154,NA,NA,6.086,0.09129,14.2,1753.08642,1.041,0.015615,NA,NA,5.846301633
485-07 Re1C,485,Re,1,C,2,12,8.2,23.9,6.14,0.174,33.54777601,2.394388542,8.944656641,125.0248986,2.75952173,1.011308284,48.75903597,31.63560357,3.550010805,9.881328025,138.0917115,5.964606456,3.650239304,102.8998631,0.136,NA,NA,4.52,0.0678,106.2,13.11111111,0.678,0.01017,NA,NA,6.666666667
485-07 Re1D,485,Re,1,D,1,3,4.2,24.5,6.14,0.141,17.38694772,1.933804569,19.12868852,27.51442071,1.564140614,0.986540682,28.00387077,26.65504832,7.883603011,37.90453512,35.11116593,8.522270399,7.686367494,60.90131066,0.288,2823.8,418340.7407,18.964,0.28446,845.2,104345.679,5.057,0.075855,8.68E-05,0.000174425,3.750049436
485-07 Re2A,485,Re,2,A,1,5,3.6,24.3,6.71,0.109,29.35058787,2.404348831,3.687767159,66.1605718,4.282378403,1.344645625,39.3474148,181.2774717,6.423393537,19.50208722,394.1944607,12.42780596,NA,145.1301317,0.101,56.8,8414.814815,2.833,0.042495,21.6,2666.666667,0.476,0.00714,0.014112648,0.012339392,5.951680672
485-07 Re2B,485,Re,2,B,1,1,5.2,26.5,7.91,0.176,18.99100106,0.568942658,4.900974415,19.12603049,0.777554966,0.670088019,33.68487711,82.73419347,NA,5.493032286,50.12366517,NA,NA,99.03103141,0.198,1255.8,186044.4444,4.74,0.0711,204.2,25209.87654,1.033,0.015495,0.000278809,0.000384612,4.58857696
485-07 Re2C,485,Re,2,C,1,2,5.4,24.8,6.93,0.318,54.6203689,3.886231726,7.680397054,106.8999575,8.828165137,1.592083552,62.4987724,130.4183124,13.48099472,27.33832102,257.5070429,19.50167886,5.756935791,148.8944186,0.114,395.8,58637.03704,1.606,0.02409,80.7,9.962962963,0.2305,0.0034575,0.002030157,0.002101163,6.967462039
485-07 Re2D,485,Re,2,D,3,27,5.5,25,7.06,0.139,14.58975887,1.822901706,4.797591,20.16874813,2.239589701,1.539322377,19.84575195,35.68486622,0.472011686,5.965235378,34.51461648,0.227577063,0.436782131,53.63746734,0.137,642.8,95229.62963,2.806,0.04209,86.2,10641.97531,0.4773,0.0071595,0.000299344,0.000442331,5.878902158
